Designator,Footprint,Quantity,Value,LCSC Part #
"BRD11, BRD12",128x64OLED,2,SH1106,
"C1, C2, C5",0805,3,10uF,C15850
C4,0805,1,1uF,C28323
C6,0805,1,2.2uF,C377773
"C7, C8",0805,2,4.7uF,C1779
"CONN1, CONN2, CONN3, CONN4, CONN5, CONN6, CONN7, CONN8",PinHeader_1x04_P2.54mm_Vertical,8,Conn_01x04_Pin,
"D1, D10, D100, D101, D102, D103, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123,102,D,C2099
"D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D200, D201, D202, D203, D204, D205",LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,102,SK6805,C2890035
"D206, D83",SOT-23-3,2,ESDA5V3L,C587142
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PinHeader_2x03_P1.00mm_Vertical,1,Conn_02x03_Odd_Even,C6837603
"R1, R2",0805,2,5K1,C27834
"R10, R17, R18, R9",0805,4,4K7,C17673
R11,0805,1,2K,C17604
"R12, R15, R6",0805,3,806K,C2933502
"R13, R16, R7",0805,3,2M,C26112
"R14, R22",0805,2,10K,C17414
"R5, R8",0805,2,27R,C17594
"SW1, SW10, SW100, SW101, SW102, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW44, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW58, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW71, SW72, SW73, SW74, SW75, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW90, SW91, SW92, SW93, SW94, SW95, SW96, SW97, SW98, SW99",SW_choc_v1_HS_CPG135001S30_1u,94,SW_Push,C5333465
"SW28, SW45, SW70",SW_choc_v1_HS_CPG135001S30_1.75u,3,SW_Push,C5333465
"SW30, SW43",SW_choc_v1_HS_CPG135001S30_1.5u,2,SW_Push,C5333465
"SW57, SW59, SW76",SW_choc_v1_HS_CPG135001S30_2.25u,3,SW_Push,C5333465
U11,MT3608-Module,1,MT3608_Module,
U12,1825232-1,1,1825232-1,C5167252
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,USB6B1,C283483
U3,Raytac_MDBT50Q,1,MDBT50Q-1MV2,C5118826
U4,SOT-23-5,1,LP2985-3.3,C95414
U5,SOT-23-5,1,MCP73831-2-OT,C424093
U6,modified-XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,C37327670
U7,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017_ML,C639770
